Name,dataset,text_modality,graph_modality,numerical_modality,numerical_version,model_with_intermediate_layer,model_with_tensorfusion_network,model_with_lowrank_tensorfusion_network,val/f1_mean,val/f1_std,test/acc_mean,test/acc_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,test/f1_mean,test/f1_std,test/auroc_mean,test/auroc_std
TextAndNumModule2589843828,bioinfer,True,False,True,Ver2_300,True,,,0.8461008429527282,0.0139524276450534,0.9429407596588136,0.008863290318078,0.8412038922309876,0.0216101004684608,0.8378758192062378,0.0328941358830881,0.8393887758255005,0.0257160649219128,0.9590813398361206,0.0057617018748097
TextAndGraphAndNumModule4086146606,bioinfer,True,True,True,Ver1_180,True,False,False,0.8510356545448303,0.030946232948769,0.9442574977874756,0.0106250738370162,0.8340846776962281,0.0194586465709437,0.8597415685653687,0.0400057554429425,0.846444571018219,0.026847733512834,0.9653695583343506,0.0136583285017797
TextAndNumModule4004620124,bioinfer,True,False,True,Ver2_300,False,,,0.853008759021759,0.014230938453674,0.9446964263916016,0.0069952012943872,0.8546030640602111,0.0208697256147899,0.8315953254699707,0.0292454290664136,0.842641007900238,0.0201948170726415,0.9529696106910706,0.0151401399268504
TextAndGraphAndNumModule1601342390,bioinfer,True,True,True,Ver1_180,False,False,False,0.8437422513961792,0.0202168042158239,0.943672287464142,0.0116310853047794,0.8418923139572143,0.0333359633912428,0.8439140796661377,0.0476120945770673,0.8421733975410461,0.0323846689238607,0.9547270894050598,0.0141628210143664
TextAndNumModule2833307578,bioinfer,True,False,True,Ver2_500,True,,,0.8444912433624268,0.0153247448303599,0.9479151487350465,0.0094749299726425,0.8614964365959168,0.0363364015959832,0.8465796709060669,0.0476837626002052,0.8526941657066345,0.027031804933706,0.962834084033966,0.0055652868562071
TextAndGraphAndNumModule1397311077,bioinfer,True,True,True,Ver2_100,True,False,False,0.8445029497146607,0.0176598867615775,0.9426481366157532,0.0085885483395311,0.838262403011322,0.0312992266595335,0.8434053063392639,0.0307575414046744,0.8401837944984436,0.0204355443092121,0.9608165860176088,0.0056545851504384
TextAndNumModule366120442,bioinfer,True,False,True,Ver2_500,False,,,0.8527003049850463,0.0155153584060941,0.944550120830536,0.0056361071231375,0.8604231476783752,0.0195742750296542,0.8232466578483582,0.0291295856558036,0.8409874439239502,0.0163219387837423,0.9489993095397948,0.0078393702840645
GraphModule1535675291,bioinfer,False,True,False,,,,,0.0147903429344296,0.0224780641074216,0.8169714689254761,0.0122705161368467,0.0571428596973419,0.1142857193946838,0.0126482218503952,0.0252964437007904,0.0207119762897491,0.0414239525794982,0.5105744123458862,0.0107778200673077
GraphAndNumModule151116853,bioinfer,False,True,True,Ver1_100,,,,0.0975230924785137,0.0487833582790298,0.7635698556900025,0.0258775128229911,0.1980726569890976,0.0239731505717459,0.1087019518017768,0.0578301362553575,0.1335768759250641,0.0417822317018176,0.5035535573959351,0.0195910716110601
GraphAndNumModule2311386271,bioinfer,False,True,True,Ver1_180,,,,0.2000674247741699,0.0195386028945998,0.691294813156128,0.025192654733249,0.1847106456756591,0.0154705425028695,0.2194746017456054,0.0666447177374729,0.1978620141744613,0.0339214024780271,0.505546772480011,0.0210827310826569
GraphAndNumModule1344493413,bioinfer,False,True,True,Ver2_100,,,,0.1528727293014526,0.0375107401890187,0.7334308743476867,0.0102372336471897,0.1844984501600265,0.0317249774248998,0.1448235929012298,0.0290343969792673,0.1616063997149467,0.0280853171710615,0.5048170626163483,0.02177041110248
GraphAndNumModule3710303716,bioinfer,False,True,True,Ver2_300,,,,0.2181164443492889,0.0120366535322902,0.6374542832374572,0.0091671846999097,0.1644922792911529,0.0118060795248448,0.25605688393116,0.0468152313611565,0.1995143204927444,0.0214351927332409,0.498461776971817,0.011726362897755
GraphAndNumModule1752069925,bioinfer,False,True,True,Ver2_500,,,,0.1929005682468414,0.0331939885255614,0.6910022020339965,0.0297206070682883,0.1780887395143509,0.0258368645897697,0.1985164582729339,0.0353094226974808,0.1859204769134521,0.0255041744096823,0.4991142749786377,0.0338673652497569
NumModule1135475674,bioinfer,False,False,True,Ver1_100,,,,0.0935628831386566,0.0693402059115676,0.7738112688064576,0.0534074115617197,0.1783947065472602,0.0985854791010257,0.0576846096664667,0.0508217131480872,0.0732751287519931,0.0414945192596637,0.4806109130382537,0.0137386187573943
NumModule603429394,bioinfer,False,False,True,Ver1_180,,,,0.1723691120743751,0.0452113906794959,0.7027066588401795,0.0237114578543157,0.1682221204042434,0.0263584951728488,0.1742682382464409,0.048464510121059,0.1700329095125198,0.0384258765877279,0.5096691727638245,0.0362551041942241
NumModule1613767618,bioinfer,False,False,True,Ver2_100,,,,0.0747289575636386,0.0704687479940951,0.7783467411994934,0.0535786774412687,0.119484357535839,0.04112627635971,0.0434438720345497,0.0604042314910385,0.0487805707380175,0.0504932116971948,0.4956345975399017,0.0180049861873404
NumModule3886901441,bioinfer,False,False,True,Ver2_300,,,,0.0662674942985177,0.0469963494696974,0.8036576390266419,0.0338930970233249,0.339330729842186,0.2526811677253053,0.0370703745633363,0.0416448818964288,0.0529124334454536,0.0456973824181652,0.6010771870613099,0.087340992645708
TextAndGraphAndNumModule2244747940,bioinfer,True,True,True,Ver2_100,False,False,False,0.8648282527923584,0.0349130378829071,0.9482077598571778,0.0103598575098723,0.8692583918571473,0.0291721480685221,0.836257255077362,0.0299353012259056,0.8522931218147278,0.0274186091562265,0.9622016310691832,0.0151855981322334
NumModule85577760,bioinfer,False,False,True,Ver2_500,,,,0.1105900347232818,0.0360527658582835,0.8099488019943237,0.0239753946708966,0.4289154946804047,0.2019942594160498,0.0691975049674511,0.0093723670481669,0.1165838733315467,0.0219401844568512,0.64081711769104,0.0739988698513862
TextAndGraphAndNumModule241519969,bioinfer,True,True,True,Ver2_300,True,False,False,0.8381318211555481,0.0118004878178865,0.9372348189353944,0.0100238245068352,0.8224346876144409,0.0400513216703424,0.8288365006446838,0.051014823645751,0.824263334274292,0.0304683681842553,0.9615575194358824,0.0108502235790939
TextAndGraphAndNumModule1213126462,bioinfer,True,True,True,Ver2_300,False,False,False,0.8460152983665467,0.0179555670608011,0.942209219932556,0.0093338183092018,0.8484110593795776,0.0405133808492407,0.8277829408645629,0.0495892254844546,0.8361607551574707,0.0255425801245829,0.956756317615509,0.010438882471232
TextAndGraphAndNumModule179351348,bioinfer,True,True,True,Ver2_500,True,False,False,0.8548841714859009,0.0392611681923032,0.9455742478370668,0.0157277010894456,0.8540391445159912,0.0543742676263836,0.8416592955589295,0.0405253320006935,0.8471827507019043,0.0419387880820326,0.9645734667778016,0.0110819936743791
TextAndGraphAndNumModule3455650288,bioinfer,True,True,True,Ver2_500,False,False,False,0.8458665132522583,0.0233564121757181,0.9433796644210816,0.0082840753191739,0.8373925924301148,0.0434032553167822,0.853620982170105,0.0595476991672916,0.842864739894867,0.0229602221843856,0.9585925340652466,0.0115371018479085
TextAndGraphAndNumModule1030930030,bioinfer,True,True,True,Ver1_100,False,False,True,0.8384972929954528,0.0301830666471772,0.94444442987442,0.0127871707246125,0.8472716689109803,0.0320667107805668,0.8401583671569824,0.0406136105549867,0.8435571432113648,0.0350648105522129,,
TextAndGraphAndNumModule1300443397,bioinfer,True,True,True,Ver1_100,False,True,False,0.829998779296875,0.0269393904226259,0.9400584816932678,0.0086368860007439,0.8470015406608582,0.0181108861779407,0.8094320058822632,0.0522242943270749,0.826926851272583,0.0303575153672024,,
TextAndGraphAndNumModule2387292182,bioinfer,True,True,True,Ver1_180,False,False,True,0.8512916445732117,0.0440436904914781,0.948099410533905,0.0122928916049649,0.8683734893798828,0.034430234451626,0.8386477351188659,0.0340195210776211,0.8529123425483703,0.0293999031808655,,
TextAndGraphAndNumModule876679124,bioinfer,True,True,True,Ver1_180,False,True,False,0.8061377286911011,0.0323195062629345,0.9333333373069764,0.014245200533875,0.8141469836235047,0.0526347608037285,0.8151133179664611,0.0381168844568233,0.8137176513671875,0.0363535657094292,,
TextAndGraphAndNumModule3443262880,bioinfer,True,True,True,Ver2_100,False,False,True,0.817074429988861,0.0160945871829478,0.9369883060455322,0.0146957177743201,0.82469562292099,0.0472122107196663,0.8215962886810303,0.0438288725609198,0.82265864610672,0.0406577015871057,,
TextAndGraphAndNumModule490849516,bioinfer,True,True,True,Ver2_100,False,True,False,0.8226789236068726,0.0263551521547035,0.938157904148102,0.0069900706117793,0.8225633025169372,0.0145995659971265,0.8332870960235595,0.0281173439235975,0.8276661992073059,0.0177317085536438,,
TextAndGraphAndNumModule3213839099,bioinfer,True,True,True,Ver2_300,False,False,True,0.8436427474021911,0.0388392169256085,0.944152045249939,0.0150065830659027,0.8472276568412781,0.0347691635016761,0.8371714115142822,0.0693356410586386,0.8410296678543091,0.0462060863532885,,
TextAndGraphAndNumModule545163082,bioinfer,True,True,True,Ver2_300,False,True,False,0.8454301238059998,0.0486607117071727,0.9444444417953493,0.015623449267077,0.8453785657882691,0.0386122128194914,0.8427524447441102,0.0572145038212817,0.8435486674308776,0.0446326482115643,,
TextAndGraphAndNumModule1559473548,bioinfer,True,True,True,Ver2_500,False,False,True,0.8588735818862915,0.0096079347723112,0.944298243522644,0.0099951339453958,0.8500110030174255,0.0388563414143645,0.8357966184616089,0.0358811020103801,0.842126190662384,0.0289666652780996,,
TextAndGraphAndNumModule561793047,bioinfer,True,True,True,Ver2_500,False,True,False,0.8409731388092041,0.0193508156045866,0.9393274784088136,0.0098182038219373,0.8295713067054749,0.0380874869680561,0.8293541193008422,0.045729652543426,0.8285808682441711,0.0329931731303386,,
