Name,Start Time,Duration,Run ID,Source Type,Status,dataset__target_,dataset_batch_size,dataset_max_seq_len,dataset_num_workers,dataset_pin_memory,dataset_pretrained_path,dataset_thereshold,model__target_,model_amino_vocab_size,model_batch_size,model_condense_graph_dim,model_condense_num_dim,model_condense_text_dim,model_dropout_prob,model_eps,model_lr,model_max_epochs,model_node_dim,model_num_feature_dim,model_num_gnn_layers,model_post_fusion_dim,model_post_fusion_dropout_prob,model_pretrained_path,model_rank,model_train_size,model_warmup_epoch,model_weight_decay,model_with_intermediate_layer,model_with_lowrank_tensorfusion_network,model_with_lstm,model_with_tensorfusion_network,trainer__target_,trainer_accelerator,trainer_accumulate_grad_batches,trainer_gpus,trainer_max_epochs,trainer_min_epochs,trainer_progress_bar_refresh_rate,trainer_resume_from_checkpoint,trainer_weights_summary,test/acc_mean,test/acc_std,test/auroc_mean,test/auroc_std,test/f1_mean,test/f1_std,test/loss_mean,test/loss_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,val/f1_mean,val/f1_std
TextModule3042129034,2022-03-03 09:25:49,67ms,1856ca038f2a4279a3c2b0369c820e57,LOCAL,FINISHED,src.datamodules.text_datamodule.TextDatasetModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_model.TextModule,,32,,,,,1e-08,5e-05,20,,,,,,dmis-lab/biobert-v1.1,,2586,5,0.01,,,False,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9730769395828248,0,0.9756250381469728,0.0,0.7999999523162842,0,0.122917428612709,0,0.9333333373069764,0,0.699999988079071,0,0.8181817531585693,0
NumModule2763462129,2022-03-02 15:09:36,86ms,b0c3363153084cee864a2a7d590190af,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,500.0,,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9230769276618958,0,0.4482291638851166,0.0,0.0,0,0.6054752469062805,0,0.0,0,0.0,0,0.0,0
NumModule3730804195,2022-03-02 15:07:41,62ms,2eb218e251124783b2b3118d1f14ad8b,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,300.0,,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.6692307591438293,0,0.3901041746139526,0.0,0.0652173906564712,0,0.6695124506950378,0,0.0416666679084301,0,0.1500000059604644,0,0.0404040403664112,0
NumModule1128154083,2022-03-02 15:06:10,58ms,b6b77250fcd840d78057bc8f963a99d3,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.8384615182876587,0,0.4844791293144226,0.0,0.0869565233588218,0,0.6333361268043518,0,0.0769230797886848,0,0.1000000014901161,0,0.1081081107258796,0
NumModule4165729464,2022-03-02 15:05:00,58ms,04aa883445784e448341cf65b8a81605,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,180.0,,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7884615659713745,0,0.50822913646698,0.0,0.0983606576919555,0,0.6592525839805603,0,0.0731707289814949,0,0.1500000059604644,0,0.0434782616794109,0
NumModule736525268,2022-03-02 15:03:42,60ms,096fd9bf2a1b43b48d394cd448607059,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.6000000238418579,0,0.4909375011920929,0.0,0.1475409865379333,0,0.6815170049667358,0,0.0882352963089943,0,0.449999988079071,0,0.1076923087239265,0
GraphAndNumModule1324766082,2022-03-02 15:02:33,71ms,c41492ca37bf45b3a6a835d033ac6394,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,500.0,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7692307829856873,0,0.3988541662693023,0.0,0.0322580635547637,0,0.6346700191497803,0,0.0238095242530107,0,0.050000000745058,0,0.1034482792019844,0
GraphAndNumModule3472737524,2022-03-02 15:00:06,72ms,069d1597ae534e859ce1911f4b9d5f32,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,300.0,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.9076923131942748,0,0.6007291674613953,0.0,0.0,0,0.5224530696868896,0,0.0,0,0.0,0,0.1176470667123794,0
GraphAndNumModule2333245998,2022-03-02 14:58:02,98ms,1e74877272c948a5b9747d0492f947ff,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,100.0,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.7269230484962463,0,0.4065625071525574,0.0,0.0779220834374427,0,0.6493775248527527,0,0.0526315793395042,0,0.1500000059604644,0,0.0317460335791111,0
GraphAndNumModule3627349312,2022-03-02 14:56:26,69ms,a6c0d62080e447eb9adde27d5991f535,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,180.0,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,,2,20,1,5,None,None,0.8230769038200378,0,0.5792708396911621,0.0,0.1481481492519378,0,0.6135876178741455,0,0.1176470592617988,0,0.2000000029802322,0,0.1538461595773697,0
