Name,Start Time,Duration,Run ID,Source Type,Status,dataset__target_,dataset_batch_size,dataset_max_seq_len,dataset_num_workers,dataset_pin_memory,dataset_pretrained_path,dataset_thereshold,model__target_,model_amino_vocab_size,model_batch_size,model_condense_graph_dim,model_condense_num_dim,model_condense_text_dim,model_dropout_prob,model_eps,model_lr,model_max_epochs,model_node_dim,model_num_feature_dim,model_num_gnn_layers,model_post_fusion_dim,model_post_fusion_dropout_prob,model_pretrained_path,model_rank,model_train_size,model_warmup_epoch,model_weight_decay,model_with_intermediate_layer,model_with_lowrank_tensorfusion_network,model_with_lstm,model_with_tensorfusion_network,trainer__target_,trainer_accelerator,trainer_gpus,trainer_max_epochs,trainer_min_epochs,trainer_progress_bar_refresh_rate,trainer_resume_from_checkpoint,trainer_weights_summary,test/auroc_mean,test/auroc_std,test/f1_mean,test/f1_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,val/f1_mean,val/f1_std,test/acc_mean,test/acc_std,test/loss_mean,test/loss_std
GraphModule1067416,2022-02-23 10:25:45,63ms,a95f4c76a0704ebeaacb838c9c89695c,LOCAL,FINISHED,src.datamodules.graph_datamodule.GraphDatasetModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.graph_model.GraphModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,,2.0,,,,,2586,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.5137201964855194,0.0785771648636535,0.0468399830162525,0.0413958552036699,0.0256637811660766,0.0228149391931059,0.2713286817073822,0.2283364122719993,0.105995973944664,0.0543444130059382,0.6705426335334778,0.2024873798491575,0.6954442262649536,0.0422891323040402
TextAndGraphAndNumModule1728078195,2022-02-23 10:22:14,70ms,17fc77e1b77a486e9b0aee6a4c91595b,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9242353677749634,0.09327508068538,0.7243875026702881,0.0691957827000705,0.8360750436782837,0.0925979709783142,0.6521678447723389,0.1099371847921936,0.7505754828453064,0.0734331904062342,0.9775193691253662,0.0066684723790317,0.0847938284277916,0.0247310676123211
TextAndGraphAndNumModule4186420537,2022-02-23 09:05:47,77ms,d5babb9e7b654875a422252323dd3722,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,500.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.8175415754318237,0.2161661363176293,0.594256579875946,0.304125486990176,0.6711111187934875,0.3528788148165124,0.5428171992301941,0.2831614401857564,0.620069420337677,0.3151596089393396,0.973643398284912,0.0110719873392888,0.123444914072752,0.0657718462474086
TextAndGraphAndNumModule347571759,2022-02-23 07:54:31,70ms,163cedfaee874cb5a74c422c035f7a45,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.921081793308258,0.0659489859800005,0.7332788109779358,0.0524208836958724,0.8055555582046509,0.1648044090383286,0.7182018160820007,0.1521032836693888,0.7664571285247803,0.0346392823561223,0.9767441749572754,0.0042459133230979,0.0968449503183364,0.0158528537169185
TextAndGraphAndNumModule1375619467,2022-02-23 06:40:23,71ms,6ba3e74b3b344e5788ce2bf4b2044ee5,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,300.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9304074883461,0.0636304748470066,0.7286972403526306,0.0680787124301222,0.7665171027183533,0.0703806560155622,0.725734269618988,0.1678079251356705,0.7806478857994079,0.0284074632739005,0.9759689807891846,0.0062015533447265,0.096486784517765,0.052035093764403
TextAndGraphAndNumModule341021591,2022-02-23 05:26:42,77ms,1e1614371ee04c3e94c4719e5e8bd46c,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.939703607559204,0.0776644135933173,0.7047110438346863,0.1112910679424031,0.8864285707473755,0.0656365951585619,0.6072327733039856,0.1546177322451388,0.7656649470329284,0.0648023594372681,0.9775193691253662,0.008276808793224,0.091738186776638,0.0414191833417396
TextAndGraphAndNumModule2057865859,2022-02-23 04:15:31,79ms,add44448543041238acc98d808540cb6,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9487953543663024,0.0521622970096725,0.6500395357608795,0.100008812347285,0.663866400718689,0.0786260989809179,0.6799600481986999,0.2066139291032919,0.7657092094421387,0.0899953889542404,0.9682170391082764,0.0079054603798368,0.1060763597488403,0.0242433404070857
TextAndGraphAndNumModule1921005430,2022-02-23 03:05:38,69ms,aa013e9c55ee4f4fb3e1288e5f27854e,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,180.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9536666750907898,0.0572909894953164,0.7924526810646058,0.107752696263599,0.8916666746139527,0.0136082828377272,0.7285314798355103,0.1696073924953254,0.7806689977645874,0.0735750938891431,0.982945728302002,0.0093667067715037,0.0719728797674179,0.0378813057924546
TextAndGraphAndNumModule2007984512,2022-02-23 01:55:19,98ms,87a3b53b682f4b67acef0594b46b9be5,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,180.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9526642084121704,0.0576565633444716,0.6539649248123169,0.1357354071804194,0.782619059085846,0.113801988614713,0.597562450170517,0.1789153115006657,0.7389143347740174,0.0615807609482858,0.9720930099487304,0.0105152452979724,0.0898377157747745,0.0300293737302363
TextAndGraphAndNumModule118043189,2022-02-23 00:46:31,77ms,e914c620193c4fa091061da925cb33c5,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,2586,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.955310082435608,0.0413870350603901,0.748353099822998,0.0717777867903794,0.8198989868164063,0.0704581371135761,0.7000200033187867,0.1192078794812456,0.7337949514389038,0.0855477996707673,0.979069757461548,0.0052576226489862,0.0856429271399974,0.0197937802108876
