Name,dataset,text_modality,graph_modality,numerical_modality,numerical_version,model_with_intermediate_layer,model_with_tensorfusion_network,model_with_lowrank_tensorfusion_network,val/f1_mean,val/f1_std,test/acc_mean,test/acc_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,test/f1_mean,test/f1_std,test/auroc_mean,test/auroc_std
TextAndGraphModule2473841935,hprd,True,True,False,,,,,0.8571428656578064,0,0.9692307710647584,0,0.875,0,0.699999988079071,0,0.7777777910232544,0,0.9831250309944152,0.0
TextAndNumModule3255545426,hprd,True,False,True,Ver1_100,True,,,0.7368420958518982,0,0.957692325115204,0,0.800000011920929,0,0.6000000238418579,0,0.6857142448425293,0,0.9712499380111694,0.0
TextAndNumModule1352186844,hprd,True,False,True,Ver1_100,False,,,0.8571428656578064,0,0.9461538195610046,0,0.7142857313156128,0,0.5,0,0.5882353186607361,0,0.9574999809265136,0.0
TextAndNumModule2391164927,hprd,True,False,True,Ver1_180,True,,,0.761904776096344,0,0.957692325115204,0,0.7647058963775635,0,0.6499999761581421,0,0.7027027010917664,0,0.9727083444595336,0.0
TextAndNumModule1332743487,hprd,True,False,True,Ver1_180,False,,,0.800000011920929,0,0.9538461565971376,0,0.8333333134651184,0,0.5,0,0.625,0,0.978541612625122,0.0
TextAndNumModule1675729731,hprd,True,False,True,Ver2_100,True,,,0.7272727489471436,0,0.9461538195610046,0,0.6875,0,0.550000011920929,0,0.6111111640930176,0,0.9466667175292968,0.0
TextAndNumModule4119342015,hprd,True,False,True,Ver2_100,False,,,0.7272727489471436,0,0.949999988079071,0,0.7692307829856873,0,0.5,0,0.6060605645179749,0,0.9635416269302368,0.0
TextAndNumModule3680169622,hprd,True,False,True,Ver2_300,True,,,0.7826087474822998,0,0.957692325115204,0,0.800000011920929,0,0.6000000238418579,0,0.6857142448425293,0,0.9356250166893004,0.0
TextAndNumModule3835081873,hprd,True,False,True,Ver2_300,False,,,0.6666666865348816,0,0.957692325115204,0,0.7647058963775635,0,0.6499999761581421,0,0.7027027010917664,0,0.8972917199134827,0.0
TextAndNumModule1477598881,hprd,True,False,True,Ver2_500,True,,,0.8181817531585693,0,0.949999988079071,0,0.6842105388641357,0,0.6499999761581421,0,0.6666666865348816,0,0.9414583444595336,0.0
TextAndNumModule208959473,hprd,True,False,True,Ver2_500,False,,,0.75,0,0.949999988079071,0,0.6666666865348816,0,0.699999988079071,0,0.6829268336296082,0,0.9685416221618652,0.0
TextAndGraphAndNumModule3962754994,hprd,True,True,True,Ver1_100,True,False,False,0.800000011920929,0,0.942307710647583,0,0.692307710647583,0,0.449999988079071,0,0.5454545021057129,0,0.975833296775818,0.0
TextAndGraphAndNumModule3408620961,hprd,True,True,True,Ver1_100,False,False,False,0.9090909361839294,0,0.965384602546692,0,0.8235294222831726,0,0.699999988079071,0,0.7567567825317383,0,0.9800000190734864,0.0
TextAndGraphAndNumModule3552154414,hprd,True,True,True,Ver1_180,True,False,False,0.8181817531585693,0,0.965384602546692,0,0.8666666746139526,0,0.6499999761581421,0,0.7428571581840515,0,0.9743749499320984,0.0
TextAndGraphAndNumModule4258360578,hprd,True,True,True,Ver1_180,False,False,False,0.8181817531585693,0,0.949999988079071,0,0.7333333492279053,0,0.550000011920929,0,0.6285714507102966,0,0.8968750238418579,0.0
TextAndGraphAndNumModule165420071,hprd,True,True,True,Ver2_100,True,False,False,0.8571428656578064,0,0.9692307710647584,0,0.875,0,0.699999988079071,0,0.7777777910232544,0,0.9756250381469728,0.0
TextAndGraphAndNumModule2607361321,hprd,True,True,True,Ver2_100,False,False,False,0.800000011920929,0,0.957692325115204,0,0.8461538553237915,0,0.550000011920929,0,0.6666666269302368,0,0.9493749737739564,0.0
TextAndGraphAndNumModule1012590748,hprd,True,True,True,Ver2_300,True,False,False,0.800000011920929,0,0.965384602546692,0,0.7894737124443054,0,0.75,0,0.7692307233810425,0,0.9650000333786012,0.0
TextAndGraphAndNumModule1832344616,hprd,True,True,True,Ver2_300,False,False,False,0.8333333134651184,0,0.965384602546692,0,0.8666666746139526,0,0.6499999761581421,0,0.7428571581840515,0,0.962291657924652,0.0
TextAndGraphAndNumModule2887704356,hprd,True,True,True,Ver2_500,True,False,False,0.7826087474822998,0,0.9692307710647584,0,0.8333333134651184,0,0.75,0,0.7894737124443054,0,0.9787499904632568,0.0
TextAndGraphAndNumModule3768217915,hprd,True,True,True,Ver2_500,False,False,False,0.800000011920929,0,0.9615384340286256,0,0.8125,0,0.6499999761581421,0,0.7222222089767456,0,0.9266666173934937,0.0
GraphModule333087547,hprd,False,True,False,,,,,0.0,0,0.8500000238418579,0,0.0,0,0.0,0,0.0,0,0.4770833253860473,0.0
GraphAndNumModule1316277585,hprd,False,True,True,Ver1_100,,,,0.1818181872367859,0,0.8230769038200378,0,0.0357142873108387,0,0.050000000745058,0,0.0416666679084301,0,0.4795833230018616,0.0
GraphAndNumModule3627349312,hprd,False,True,True,Ver1_180,,,,0.1538461595773697,0,0.8230769038200378,0,0.1176470592617988,0,0.2000000029802322,0,0.1481481492519378,0,0.5792708396911621,0.0
GraphAndNumModule2333245998,hprd,False,True,True,Ver2_100,,,,0.0317460335791111,0,0.7269230484962463,0,0.0526315793395042,0,0.1500000059604644,0,0.0779220834374427,0,0.4065625071525574,0.0
GraphAndNumModule3472737524,hprd,False,True,True,Ver2_300,,,,0.1176470667123794,0,0.9076923131942748,0,0.0,0,0.0,0,0.0,0,0.6007291674613953,0.0
GraphAndNumModule1324766082,hprd,False,True,True,Ver2_500,,,,0.1034482792019844,0,0.7692307829856873,0,0.0238095242530107,0,0.050000000745058,0,0.0322580635547637,0,0.3988541662693023,0.0
NumModule736525268,hprd,False,False,True,Ver1_100,,,,0.1076923087239265,0,0.6000000238418579,0,0.0882352963089943,0,0.449999988079071,0,0.1475409865379333,0,0.4909375011920929,0.0
NumModule4165729464,hprd,False,False,True,Ver1_180,,,,0.0434782616794109,0,0.7884615659713745,0,0.0731707289814949,0,0.1500000059604644,0,0.0983606576919555,0,0.50822913646698,0.0
NumModule1128154083,hprd,False,False,True,Ver2_100,,,,0.1081081107258796,0,0.8384615182876587,0,0.0769230797886848,0,0.1000000014901161,0,0.0869565233588218,0,0.4844791293144226,0.0
NumModule3730804195,hprd,False,False,True,Ver2_300,,,,0.0404040403664112,0,0.6692307591438293,0,0.0416666679084301,0,0.1500000059604644,0,0.0652173906564712,0,0.3901041746139526,0.0
NumModule2763462129,hprd,False,False,True,Ver2_500,,,,0.0,0,0.9230769276618958,0,0.0,0,0.0,0,0.0,0,0.4482291638851166,0.0
TextModule3042129034,hprd,True,False,False,,,,,0.8181817531585693,0,0.9730769395828248,0,0.9333333373069764,0,0.699999988079071,0,0.7999999523162842,0,0.9756250381469728,0.0
TextAndGraphAndNumModule103682081,hprd,True,True,True,Ver1_100,False,False,True,0.6315789222717285,0,0.9346153736114502,0,0.5882353186607361,0,0.5,0,0.5405405163764954,0,,
TextAndGraphAndNumModule3616029306,hprd,True,True,True,Ver1_100,False,True,False,0.761904776096344,0,0.965384602546692,0,0.8235294222831726,0,0.699999988079071,0,0.7567567825317383,0,,
TextAndGraphAndNumModule1370465118,hprd,True,True,True,Ver1_180,False,False,True,0.5925926566123962,0,0.942307710647583,0,0.6666666865348816,0,0.5,0,0.5714285373687744,0,,
