Name,Start Time,Duration,Run ID,Source Type,Status,dataset__target_,dataset_batch_size,dataset_max_seq_len,dataset_num_workers,dataset_pin_memory,dataset_pretrained_path,dataset_thereshold,model__target_,model_amino_vocab_size,model_batch_size,model_condense_graph_dim,model_condense_num_dim,model_condense_text_dim,model_dropout_prob,model_eps,model_lr,model_max_epochs,model_node_dim,model_num_feature_dim,model_num_gnn_layers,model_post_fusion_dim,model_post_fusion_dropout_prob,model_pretrained_path,model_rank,model_train_size,model_warmup_epoch,model_weight_decay,model_with_intermediate_layer,model_with_lowrank_tensorfusion_network,model_with_lstm,model_with_tensorfusion_network,trainer__target_,trainer_accelerator,trainer_gpus,trainer_max_epochs,trainer_min_epochs,trainer_progress_bar_refresh_rate,trainer_resume_from_checkpoint,trainer_weights_summary,test/acc_mean,test/acc_std,test/auroc_mean,test/auroc_std,test/f1_mean,test/f1_std,test/loss_mean,test/loss_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,val/f1_mean,val/f1_std
NumModule4159767890,2022-03-02 18:52:17,54ms,b17dc261d2b94c8f935a5894df1d7714,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,180.0,,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.7441520690917969,0,0.4569228589534759,0,0.0932642444968223,0,0.665311872959137,0,0.1192052960395813,0,0.0765957459807396,0,0.122448980808258,0
NumModule3322006616,2022-03-02 18:50:11,55ms,fcff1be71fc64e019904aba61413a66d,LOCAL,FINISHED,src.datamodules.num_datamodule.NumDatasetModule,16,,0,False,,,src.models.num_model.NumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.6681286692619324,0,0.4861016571521759,0,0.1466165333986282,0,0.6690006852149963,0,0.1313131302595138,0,0.1659574508666992,0,0.1785063743591308,0
GraphAndNumModule1398089657,2022-03-02 18:48:15,63ms,12997f846063419c9726ae36b0badc51,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,500.0,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.7397660613059998,0,0.5007267594337463,0,0.1442307829856872,0,0.6445608139038086,0,0.1657458543777465,0,0.1276595741510391,0,0.1517857164144516,0
GraphAndNumModule2838809240,2022-03-02 18:42:41,58ms,fb5ab522c3fb4acb841bd00440db15e9,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,300.0,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.667397677898407,0,0.5085538625717163,0,0.2625607550144195,0,0.6631413698196411,0,0.2120418846607208,0,0.3446808457374573,0,0.1906250119209289,0
GraphAndNumModule2381751698,2022-03-02 18:37:24,54ms,c2dd9496a360462d84ddbb1e4aeea264,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,100.0,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.7317251563072205,0,0.4940451979637146,0,0.1715575605630874,0,0.6530359983444214,0,0.1826923042535781,0,0.1617021262645721,0,0.190265491604805,0
GraphAndNumModule3870484935,2022-03-02 18:32:34,64ms,18395bfff4f043f89f73a5c67b1e7572,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,180.0,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.667397677898407,0,0.4857542514801025,0,0.2327150106430053,0,0.6630294322967529,0,0.1927374303340912,0,0.2936170101165771,0,0.2392344623804092,0
GraphAndNumModule1925145700,2022-03-02 18:27:31,60ms,1cba589c86d04652bf8207b9ef7f2cd3,LOCAL,FINISHED,src.datamodules.graph_and_num_datamodule.GraphAndNumModule,16,,0,False,,8.0,src.models.graph_and_num_model.GraphAndNumModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,100.0,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.7185672521591187,0,0.4797787666320801,0,0.1720430105924606,0,0.6574711203575134,0,0.1739130467176437,0,0.1702127605676651,0,0.1952277570962906,0
GraphModule953741191,2022-03-02 18:22:40,64ms,770efa1d55ba414795ef6c70c248cef0,LOCAL,FINISHED,src.datamodules.graph_datamodule.GraphDatasetModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.graph_model.GraphModule,29.0,32,,,,0.1,1e-08,5e-05,20,128.0,,2.0,,,,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.8282163739204407,0,0.4578186273574829,0,0.0,0,0.6453343033790588,0,0.0,0,0.0,0,0.0,0
TextAndNumModule3063177506,2022-03-02 18:18:30,59ms,46b7154f9b68445e80d297a975846cb0,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,500.0,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,False,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.942251443862915,0,0.963998794555664,0,0.8377822637557983,0,0.3531245589256286,0,0.8095238208770752,0,0.8680850863456726,0,0.8517745137214661,0
TextAndGraphAndNumModule1122921693,2022-03-02 18:10:11,72ms,7c48eab55ae148379620ae3fb769c361,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,180.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9356725215911864,0,0.964297354221344,0,0.817427396774292,0,0.2996708750724792,0,0.7975708246231079,0,0.8382978439331055,0,0.8354430794715881,0
TextAndNumModule2921709819,2022-03-02 17:28:17,58ms,82e39904d3dd42dbb125c22204e62e58,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,500.0,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,True,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.938596487045288,0,0.9607087969779968,0,0.8264463543891907,0,0.3319060206413269,0,0.8032128810882568,0,0.8510638475418091,0,0.8270042538642883,0
TextAndGraphAndNumModule2255585497,2022-03-02 17:12:04,75ms,2eb514020ab54ac2971c84839e2d4a83,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,False,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9473684430122375,0,0.9763159155845642,0,0.8512396216392517,0,0.2539235055446625,0,0.827309250831604,0,0.8765957355499268,0,0.855949878692627,0
TextAndNumModule1365562137,2022-03-02 16:37:37,59ms,4183747383ae426da4387dc3c7478f16,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,300.0,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,False,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9334795475006104,0,0.9669621586799622,0,0.8253359198570251,0,0.3856777548789978,0,0.751748263835907,0,0.914893627166748,0,0.8437500596046448,0
TextAndGraphAndNumModule3734542554,2022-03-02 16:13:31,74ms,c06bc2560c024c4ea3b5ef5b84d6fc21,LOCAL,FINISHED,src.datamodules.text_and_graph_and_num_datamodule.TextAndGraphAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_and_num_model.TextAndGraphAndNumModule,29.0,32,32.0,32.0,128.0,,1e-08,5e-05,20,128.0,100.0,2.0,512.0,0.1,dmis-lab/biobert-v1.1,4.0,13676,5,0.01,True,False,False,False,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9459064602851868,0,0.9674898982048036,0,0.8458333611488342,0,0.2299528568983078,0,0.8285714387893677,0,0.8638297915458679,0,0.8559322357177734,0
TextAndNumModule3862446142,2022-03-02 15:47:46,60ms,4dcaa77052ec4699bd27d65b26d3bcf3,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,300.0,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,True,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9400584697723388,0,0.97088885307312,0,0.8353413343429565,0,0.2114530801773071,0,0.7908745408058167,0,0.8851063847541809,0,0.838056743144989,0
TextAndNumModule3784997873,2022-03-02 14:58:00,58ms,fdd3e7f4664d48c79dce6c64ded2b69e,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,False,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9429824352264404,0,0.9644419550895692,0,0.839506208896637,0,0.302350640296936,0,0.8127490282058716,0,0.8680850863456726,0,0.8607594966888428,0
TextAndNumModule576874112,2022-03-02 14:08:15,66ms,87061b2220bc4955aacbc35baa8dd70b,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,True,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9429824352264404,0,0.9753920435905457,0,0.836820125579834,0,0.2288790494203567,0,0.8230452537536621,0,0.8510638475418091,0,0.8456659317016602,0
TextAndNumModule2351300565,2022-03-02 13:18:27,57ms,cafcee60f5474fb89911a1631e2a166b,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,180.0,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,False,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.938596487045288,0,0.962254285812378,0,0.8278688788414001,0,0.3101597726345062,0,0.7984189987182617,0,0.8595744967460632,0,0.8399168252944946,0
TextAndNumModule2314209576,2022-03-02 12:28:52,61ms,a2924e65afef43298d0794e142b81212,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,180.0,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,True,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9407894611358644,0,0.9705751538276672,0,0.8396039605140686,0,0.2700656056404114,0,0.7851851582527161,0,0.9021276831626892,0,0.8282827734947205,0
TextAndNumModule1518320377,2022-03-02 11:39:13,58ms,b3c35ddc149647cdb4e302d00233af24,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,False,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9429824352264404,0,0.9660382270812988,0,0.8414633870124817,0,0.2876152992248535,0,0.8054474592208862,0,0.8808510899543762,0,0.8670757412910461,0
TextAndNumModule4205880275,2022-03-02 10:49:41,58ms,dfce5e9c41834d7c8c541a769c5eca4f,LOCAL,FINISHED,src.datamodules.text_and_num_datamodule.TextAndNumModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_and_num_model.TextAndNumModule,,32,,,,,1e-08,5e-05,20,,100.0,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,True,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9415204524993896,0,0.978265106678009,0,0.8406375050544739,0,0.2027046233415603,0,0.7902621626853943,0,0.8978723287582397,0,0.8305785059928894,0
TextAndGraphModule1232050371,2022-03-02 00:04:45,62ms,9880eea8782f457b8f527d0164db15f8,LOCAL,FINISHED,src.datamodules.text_and_graph_datamodule.TextAndGraphModule,16,256.0,0,False,dmis-lab/biobert-v1.1,8.0,src.models.text_and_graph_model.TextAndGraphModule,29.0,32,,,,,1e-08,5e-05,20,128.0,,2.0,,,dmis-lab/biobert-v1.1,,13676,5,0.01,,,,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.95175439119339,0,0.975508451461792,0,0.8619246482849121,0,0.2842950224876404,0,0.8477365970611572,0,0.8765957355499268,0,0.8673683404922485,0
TextModule2041646185,2022-03-01 23:14:44,56ms,5c6d43dcae474abe8edc3802df1af173,LOCAL,FINISHED,src.datamodules.text_datamodule.TextDatasetModule,16,256.0,0,False,dmis-lab/biobert-v1.1,,src.models.text_model.TextModule,,32,,,,,1e-08,5e-05,20,,,,,,dmis-lab/biobert-v1.1,,13676,5,0.01,,,False,,pytorch_lightning.Trainer,ddp,2,20,1,5,None,None,0.9378654956817628,0,0.9593453407287598,0,0.8268839120864868,0,0.2963909804821014,0,0.79296875,0,0.8638297915458679,0,0.8399168252944946,0
