Name,dataset,text_modality,graph_modality,numerical_modality,numerical_version,model_with_intermediate_layer,model_with_tensorfusion_network,model_with_lowrank_tensorfusion_network,val/f1_mean,val/f1_std,test/acc_mean,test/acc_std,test/prec_mean,test/prec_std,test/rec_mean,test/rec_std,test/f1_mean,test/f1_std,test/auroc_mean,test/auroc_std
TextModule1873968074,hprd,True,False,False,,,,,0.7814063668251038,0.0480232376210441,0.9759689807891846,0.0137364756560041,0.8092307806015014,0.1847122143034671,0.7085314750671386,0.1658551367519533,0.734788691997528,0.121501695875714,0.944461977481842,0.0804926177205568
TextAndGraphModule4011877590,hprd,True,True,False,,,,,0.7468064546585083,0.0498513241107878,0.973643398284912,0.0075157863084809,0.7539210796356202,0.1089382848479364,0.6777622401714325,0.192424071912156,0.6899393916130065,0.0981485954658863,0.923079514503479,0.0710779345942606
TextAndNumModule3276805414,hprd,True,False,True,Ver1_100,True,,,0.7255046725273132,0.045009656406925,0.9767441749572754,0.0084918266461958,0.8269841313362122,0.1086345241750465,0.6397003114223481,0.1614040125821989,0.7079481601715087,0.1096874113475735,0.9469796657562256,0.0728524679581963
TextAndNumModule3460405268,hprd,True,False,True,Ver1_100,False,,,0.7846708178520203,0.0798412969380122,0.9759689807891846,0.0099273291328378,0.8029526114463806,0.1533214412133453,0.6932667434215546,0.162033678478197,0.7217543840408325,0.111100425693879,0.9624233365058898,0.0514889454710933
TextAndNumModule2248585534,hprd,True,False,True,Ver1_180,True,,,0.768116581439972,0.0590755714747163,0.9744185924530028,0.0159998273506653,0.7703174710273742,0.1435026040065941,0.6960639417171478,0.1922526224928382,0.7159349203109742,0.1503663085437911,0.9083673477172852,0.0899292533540785
TextAndNumModule1549453014,hprd,True,False,True,Ver1_180,False,,,0.7715237140655518,0.0558276313548164,0.9775193691253662,0.0125954143852392,0.8254761874675751,0.1968222605633672,0.7200199842453003,0.1474010626162072,0.748338770866394,0.1162511314731293,0.9593824744224548,0.0505296484939447
TextAndNumModule697162088,hprd,True,False,True,Ver2_100,True,,,0.6089580655097961,0.3074053947341669,0.9643410682678224,0.0066684723790317,0.528113067150116,0.2876875547879107,0.5388611495494843,0.3318684347621933,0.5066137790679932,0.2653427412141764,0.8352723360061646,0.1746765799731693
TextAndNumModule3738192267,hprd,True,False,True,Ver2_100,False,,,0.7344399690628052,0.0754439744936885,0.973643398284912,0.0121089200001921,0.7546853184700012,0.1656214551199901,0.7131468653678894,0.1821945501614872,0.7093052983283996,0.1194383997182725,0.905954384803772,0.1003268137394314
TextAndNumModule2452160272,hprd,True,False,True,Ver2_300,True,,,0.7556455731391907,0.055949055963367,0.9759689807891846,0.0045201199033021,0.7486868739128113,0.0938783333597757,0.7371029019355774,0.1373213331602432,0.7311490893363952,0.0612918238543992,0.9573678135871888,0.0380639067990116
TextAndNumModule1355500193,hprd,True,False,True,Ver2_300,False,,,0.7297308564186096,0.069321964237858,0.9689922332763672,0.0183444421832753,0.8095238149166107,0.2501700055199616,0.6521079123020173,0.2194182638888637,0.6605128526687623,0.1661230807001063,0.959751546382904,0.0440697556552137
